"Domain","UniqueName","Name","Enabled","ParentUniqueName"
"unspsc","26101723","Fuel vapor canister","261017","Yes"
"unspsc","26101710","Carburetors","261017","Yes"
"unspsc","26101750","Throttle","261017","Yes"
"unspsc","26101735","Oil pan","261017","Yes"
"unspsc","26101724","Glow plugs","261017","Yes"
"unspsc","26101711","Connecting rods","261017","Yes"
"unspsc","26101751","Electronic engine controls","261017","Yes"
"unspsc","26101736","Pistons","261017","Yes"
"unspsc","26101725","Oil dip sticks or tubes","261017","Yes"
"unspsc","26101712","Crankcase ventilation valves","261017","Yes"
"unspsc","26101701","Aircraft burners","261017","Yes"
"unspsc","26101754","Engine valve seat","261017","Yes"
"unspsc","26101737","Timing chain","261017","Yes"
"unspsc","26101726","Oil strainers","261017","Yes"
"unspsc","26101713","Cylinder heads","261017","Yes"
"unspsc","26101702","Aircraft engine compressors","261017","Yes"
"unspsc","26101755","Valve guide","261017","Yes"
"unspsc","26101738","Intake manifolds","261017","Yes"
"unspsc","26101727","Piston rings","261017","Yes"
"unspsc","26101715","Engine covers or pans","261017","Yes"
"unspsc","26101703","Aircraft engine diffusers","261017","Yes"
"unspsc","26101758","Rocker arm adjusters","261017","Yes"
"unspsc","26101742","Fuel injection manifolds","261017","Yes"
"unspsc","26101756","Carburetor adapters","261017","Yes"
"unspsc","26101740","Fuel injectors","261017","Yes"
"unspsc","26101728","Push rod tubes","261017","Yes"
"unspsc","26101716","Engine forgings","261017","Yes"
"unspsc","26101704","Engine mounts","261017","Yes"
"unspsc","26101757","Spark plug fittings","261017","Yes"
"unspsc","26101741","Engine sleeves","261017","Yes"
"unspsc","26101729","Rocker arm balls","261017","Yes"
"unspsc","26101717","Engine heaters","261017","Yes"
"unspsc","26101705","Aircraft drive shafts power take offs or screw jacks","261017","Yes"
"unspsc","26101730","Rocker arm shafts","261017","Yes"
"unspsc","26101718","Engine ignition systems","261017","Yes"
"unspsc","26101706","Aircraft transmission units","261017","Yes"
"unspsc","26101743","Engine valves","261017","Yes"
"unspsc","26101731","Rocker arms","261017","Yes"
"unspsc","26101719","Supercharger","261017","Yes"
"unspsc","26101707","Balance shafts","261017","Yes"
"unspsc","26101747","Push rods","261017","Yes"
"unspsc","26101732","Spark plugs","261017","Yes"
"unspsc","26101720","Turbocharger","261017","Yes"
