"Type","UniqueName","Name"
"BPLegalEntity","200 PS Overseas Holdings Inc.","200 PS Overseas Holdings Inc."
"BPLegalEntity","4321 North 800 West LLC","4321 North 800 West LLC"
"BPLegalEntity","563916 Alberta Ltd.","563916 Alberta Ltd."
"BPLegalEntity","A Flygbranslehantering AB (AFAB)","A Flygbranslehantering AB (AFAB)"
"BPLegalEntity","ABG Autobahn-Betriebe GmbH","ABG Autobahn-Betriebe GmbH"
"BPLegalEntity","Abu Dhabi Gas Liquefaction Co. Ltd","Abu Dhabi Gas Liquefaction Co. Ltd"
"BPLegalEntity","Abu Dhabi Marine Areas Limited","Abu Dhabi Marine Areas Limited"
"BPLegalEntity","Abu Dhabi Marine Operating Company","Abu Dhabi Marine Operating Company"
"BPLegalEntity","Abu Dhabi Petroleum Company Limited","Abu Dhabi Petroleum Company Limited"
"BPLegalEntity","ACP (Malaysia), Inc.","ACP (Malaysia), Inc."
"BPLegalEntity","Actomat B.V.","Actomat B.V."
"BPLegalEntity","Advance Petroleum Holdings Pty Ltd","Advance Petroleum Holdings Pty Ltd"
"BPLegalEntity","Advance Petroleum Pty Ltd","Advance Petroleum Pty Ltd"
"BPLegalEntity","AE Cedar Creek Holdings LLC","AE Cedar Creek Holdings LLC"
"BPLegalEntity","AE Goshen II Holdings LLC","AE Goshen II Holdings LLC"
"BPLegalEntity","AE Goshen II Wind Farm LLC","AE Goshen II Wind Farm LLC"
"BPLegalEntity","AE Power Services LLC","AE Power Services LLC"
"BPLegalEntity","AE Wind PartsCo LLC","AE Wind PartsCo LLC"
"BPLegalEntity","AFCO AB","AFCO AB"
"BPLegalEntity","AGES International GmbH & Co. KG, Langenfeld","AGES International GmbH & Co. KG, Langenfeld"
"BPLegalEntity","AGES Maut System GmbH & Co. KG, Langenfeld","AGES Maut System GmbH & Co. KG, Langenfeld"
"BPLegalEntity","Air BP Albania SHA","Air BP Albania SHA"
"BPLegalEntity","Air BP Brasil Ltda.","Air BP Brasil Ltda."
"BPLegalEntity","Air BP Canada LLC","Air BP Canada LLC"
"BPLegalEntity","Air BP Copec S.A.","Air BP Copec S.A."
"BPLegalEntity","Air BP Croatia d.o.o.","Air BP Croatia d.o.o."
"BPLegalEntity","Air BP Denmark ApS","Air BP Denmark ApS"
"BPLegalEntity","Air BP Finland OY","Air BP Finland OY"
"BPLegalEntity","Air BP Italia Spa","Air BP Italia Spa"
"BPLegalEntity","Air BP Limited","Air BP Limited"
"BPLegalEntity","Air BP PBF del Peru S.A.C.","Air BP PBF del Peru S.A.C."
"BPLegalEntity","Air BP Petrobahia Ltda.","Air BP Petrobahia Ltda."
"BPLegalEntity","Air BP Sales Romania S.R.L.","Air BP Sales Romania S.R.L."
"BPLegalEntity","Air BP Sweden AB","Air BP Sweden AB"
"BPLegalEntity","Air Refuel Pty Ltd","Air Refuel Pty Ltd"
